SampleID,Horvath,Hannum,PhenoAge
TCGA.E9.A295.01A.11D.A16G.05,80.70655485,81.15964005,78.84858092
TCGA.S3.A6ZF.01A.32D.A32T.05,75.59878795,85.50541692,116.962305
TCGA.C8.A26W.01A.11D.A16G.05,47.14521807,50.23242408,63.3715998
TCGA.A7.A13H.01A.11D.A22B.05,61.41850113,62.01404477,62.78948947
TCGA.C8.A1HM.01A.12D.A138.05,66.75662317,61.62576054,103.3054386
TCGA.BH.A0BC.01A.22D.A10P.05,43.51145311,73.66750008,74.14001853
TCGA.EW.A1PA.01A.11D.A145.05,94.30979337,82.80272923,108.8981508
TCGA.AO.A1KP.01A.11D.A13K.05,95.40217909,104.194778,97.25127715
TCGA.AR.A0TV.01A.21D.A10P.05,48.82312598,105.3637296,139.0478791
TCGA.HN.A2OB.01A.21D.A27Y.05,69.90444037,54.09038614,79.49261015
TCGA.OL.A5RU.01A.11D.A28C.05,64.99917936,67.68018146,73.25276645
TCGA.EW.A1P0.01A.11D.A145.05,53.18202049,76.0008582,87.21541474
TCGA.E9.A249.01A.11D.A16A.05,85.24874217,105.2610725,76.84531883
TCGA.S3.AA15.01A.11D.A41Q.05,58.13697896,64.29843953,57.99609757
TCGA.A2.A0CT.01A.31D.A10P.05,131.8104589,128.4846847,129.9574617
TCGA.AR.A1AU.01A.11D.A12R.05,44.86745919,49.07218256,47.75048405
TCGA.OL.A66J.01A.11D.A29O.05,118.002548,111.3166097,119.4643483
TCGA.GM.A4E0.01A.12D.A268.05,88.82175863,81.19927779,94.34473252
TCGA.EW.A1IY.01A.11D.A13K.05,52.33181343,54.45629739,67.58700427
TCGA.E9.A228.01A.31D.A161.05,83.89963382,121.9017469,95.11456235
TCGA.AC.A3EH.01A.22D.A22B.05,75.04553741,73.20306441,114.0769355
TCGA.A2.A0SW.01A.11D.A10P.05,52.20424213,101.8890382,120.7434318
TCGA.B6.A0RI.01A.11D.A10P.05,63.22184096,71.20423471,56.83105735
